path,text,num_frames,height,width,aspect_ratio,fps,resolution
1.mp4,"Two uniformed individuals are in an urban setting, standing on a grey, patterned surface with a chain link connecting them. One person is closer to the foreground near a red and white structure, while the other is further back near a building with a dark doorway. Both individuals are spaced apart, holding the chain, and appear to be in a mid-action pose. The backdrop includes a blue and white building, green shrubbery, and a stair-like structure on the right side. The scene has a sense of controlled movement and urban context with a focus on the two central characters and their interaction with the chain.",36,720,1280,0.5625,,921600
2.mp4,"A person in a black-and-white striped outfit stands in a small tiled room next to a white toilet. The walls are half gray with some reddish-brown bricks exposed, and the floor is gray with a checkered pattern along the lower edge of the wall. The person first faces the toilet, then looks over their shoulder and smiles while holding the toilet lid. The scene suggests a lighthearted moment in a confined space.",107,720,1280,0.5625,,921600
3.mp4,"Two characters dressed as officers cautiously move through a dimly lit, industrial setting. The walls are composed of grey bricks and feature an opening that leads to a mysterious space in the background. Their expressions display determination and focus as they advance further. The lighting is consistently stark, creating a tense atmosphere. A door to their left adds to the sense of an unfolding investigation or mission.",31,720,1280,0.5625,,921600
4.mp4,"A delivery truck with a prominently displayed green and yellow sign is seen positioned on a city street. It appears stationary, without indicating active movement or change in position relative to its surroundings. The background features gray buildings with a striped pavement marking beneath the vehicle. No noticeable changes or dynamic activities occur within the scene. The general atmosphere is quiet and lacks dynamic elements.",13,720,1280,0.5625,,921600
5.mp4,"A police vehicle is parked along a city street next to a blue dumpster and a building with a blue door. A small green bush and a street lamp are also present on the sidewalk. The scene is static, with the only slight movement being the subtle shift in the vehicle's position.",15,720,1280,0.5625,,921600
6.mp4,"A police officer stands near a wall next to a set of differently colored objects: a black and red apparatus, a white box with an orange light on top, and a green box on the ground. The officer raises one arm toward the black and red apparatus, making slight adjustments at different moments. The scene remains largely the same throughout, with very minimal movement from the officer's arm.",52,720,1280,0.5625,,921600
7.mp4,"Three characters are engaged in a conversation on a sidewalk with a gray brick wall in the background. The person in the center seems to be addressing a police officer to the left, while an elderly person stands to the right. The trash bin next to the elderly person adds a touch of urban realism. The interaction suggests a narrative involving an inquiry or a small conflict, as the expressions and gestures change slightly throughout their exchange. The scene is simple and takes place in a compact urban environment.",205,720,1280,0.5625,,921600
8.mp4,"A person riding a red bicycle travels along a grey-paved street flanked by colorful buildings. The setting includes a mix of signage and storefronts, including a glass door with decorations inside, creating a familiar urban environment. On the right side, a pair of parking meters is visible near the sidewalk, providing additional context to the scene’s everyday city atmosphere. The biker maintains the same posture and position throughout the journey, giving a sense of continuous yet static movement through the cityscape.",39,720,1280,0.5625,,921600
9.mp4,"A masked figure in a red and blue outfit is being escorted by two uniformed officers in a grey-walled facility. The person is brought to a cell where the door is opened, and they stand facing the officers. Finally, they are placed inside the cell, which is then closed and secured by one of the officers while the other stands guard.",392,720,1280,0.5625,,921600
10.mp4,"A character in a red outfit approaches an ATM machine outside of a bank on a city street. The character inches closer and eventually starts to use the ATM. The set includes a storefront with green signage and columns, and the street features a gray tiled sidewalk. The scene takes place outdoors in front of a city bank. The overall mood is casual and everyday, set in an urban environment.",46,720,1280,0.5625,,921600
11.mp4,"A character dressed in a superhero outfit with a briefcase walks past a storefront on a city street. The storefront features a unique sign and a contrasting color scheme, adding to the urban setting. Lining the street are detailed buildings and a sidewalk with textures and fixtures. The character moves casually from one side of the frame to the other. The scene is calm and neatly constructed, capturing an everyday moment in a city environment.",54,720,1280,0.5625,,921600
12.mp4,"A character dressed as a superhero walks down a street, carrying a black suitcase. They approach a green motorcycle parked in front of a building with a red and white facade. The weather appears calm, and the environment is urban with paved sidewalks and minimal elements visible. Very little movement.",28,720,1280,0.5625,,921600
13.mp4,"A cheerful individual stands at a countertop with a small machine and some tools. They pick up a long utensil, and their expression changes to one of excitement and joy. The surrounding environment consists of a neatly tiled floor and striped walls. This lively scene captures a moment of discovery and enthusiasm in a well-organized space.",146,720,1280,0.5625,,921600
14.mp4,"A silver-haired person stands in front of a seated dark-haired individual, holding a bouquet of pink flowers. The blue-walled room features a red sofa, creating a contrast with the grey flooring. The atmosphere seems friendly and cheerful, emphasizing a gift-giving moment. Both individuals share smiles, suggesting a positive and lighthearted interaction in a simple, indoor setting.",157,720,1280,0.5625,,921600
15.mp4,"A woman in a red outfit is being pursued by a police officer on a grey pavement. The duo passes by a building with large windows and a green coniferous tree in the background. The woman appears distressed, with her hands bound in front of her, while the officer holds a gun pointed towards her. The background also includes a colorful sign and a modern-looking streetlight.",78,720,1280,0.5625,,921600
16.mp4,A man in a business suit stands and talks to another man who is sitting on the ground looking distressed. The background includes an ATM and a green trash can against a brick wall. The standing man appears to be trying to comfort or offer advice to the seated man.,328,720,1280,0.5625,,921600
17.mp4,"A man approaches an ice cream truck and orders a treat from the smiling vendor inside. The customer, initially empty-handed, is then handed an ice cream cone, causing a visible expression of joy. The truck is brightly decorated with images of various ice cream options and a cheerful design, featuring the slogan ""Only the Best"". The setting conveys a light-hearted and playful atmosphere, typical of a fun day out in the park.",280,720,1280,0.5625,,921600
